Component / Part,Qty,Value / Specs,Link,Cost (BDT)
ESP32-C6-MINI-1,2,Wi-Fi/BLE MCU,https://store.roboticsbd.com/internet-of-things-iot/3855-esp32-c6-supermini-development-board-wifi-6-bluetooth-5-le-risc-v-32-bit-robotics-bangladesh.html,620x2 = 1240
MPU-6050,2,6-DoF IMU,https://store.roboticsbd.com/robotics-parts/104-6dof-accelerometer-gyroscope-gy-521-mpu-6050-robotics-bangladesh.html,360x2 = 720
Resistor,10,10kΩ,https://www.electronics.com.bd/fixed-resistors/resistor-10k-ohm-0-25w,15
Resistor,4,4.7kΩ,https://www.electronics.com.bd/fixed-resistors/resistor-4-7k-ohm-0-25w,10
Capacitor,4,0.1uF,https://store.roboticsbd.com/capacitor/2280-01uf-50v-capacitor-robotics-bangladesh.html,12
Male Header Pins,10,1x02 Pin,https://store.roboticsbd.com/connector/653-male-pin-header-single-row-l-shaped-robotics-bangladesh.html,18
Flex Sensors,10,4.5 inch,https://www.electronics.com.bd/sensors/flex-sensor-4-5?srsltid=AfmBOorxq734_F29vBK2kye2oFEvBfQKv7jxRflG7IaUrFKZaXeHipuE,2062x10 = 20620
Custom PCB,2,2 layer,https://jlcpcb.com/,-
LiPo Battery,2,3.7V (~1200mAh),https://www.electronics.com.bd/lipo-battery/li-ion-battery-1200mah-3-7v-1-cell,455x2 = 910
Glove Material,2,Breathable Fabric,-,-
Total Estimation,,,,"~205 USD (includes PCB, Enclosure & other expected cost)"
