Component / Part,Qty,Value / Specs,Link,Cost (USD)
ESP32-C6-MINI-1,2,Wi-Fi/BLE MCU,https://www.daraz.com.bd/products/single-core-supermini-esp32-s3-esp32-c3-esp32-h2-esp32-c6-development-board-modules-super-mini-wifi-bt-bluetooth-module-i551057194-s2583829304.html?,6x2 = 12
MPU-6050,2,6-DoF IMU,https://www.daraz.com.bd/products/gy521-gy-521-mpu-6050-mpu6050-mpu-6050-dc-3v-5v-3-tr-iple-3-ax-is-an-alog-gyr-arduino-iic-i2c-gy-ro-i147752019-s1073498031.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Ampu%252B6050%253Bnid%253A147752019%253Bsrc%253ALazadaMainSrp%253Brn%253A4f1b3ab0efde3cfcfc6d9690254a4061%253Bregion%253Abd%253Bsku%253A147752019_BD%253Bprice%253A286%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A147752019%253Bsku_id%253A1073498031%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=286&priceCompare=skuId%3A1073498031%3Bsource%3Alazada-search-voucher%3Bsn%3A4f1b3ab0efde3cfcfc6d9690254a4061%3BoriginPrice%3A28600%3BdisplayPrice%3A28600%3BsinglePromotionId%3A50000071752002%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777398447670&ratingscore=5.0&request_id=4f1b3ab0efde3cfcfc6d9690254a4061&review=3&sale=13&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1,3x2 = 6
Resistor,10,10kΩ,https://www.daraz.com.bd/products/10-ps-1k-2k-22k-10k-27k-100k-460k-1m-ohm-resistor-tolerance-carbon-film-resistors-4-bands-for-diy-electronic-projects-and-experiments-i366243849-s1825750443.html?,1
Resistor,4,4.7kΩ,https://www.daraz.com.bd/products/47k-ohm-14w-530-i161032855-s1092924449.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A4.7k%252Bohm%252Bresistor%253Bnid%253A161032855%253Bsrc%253ALazadaMainSrp%253Brn%253Aa19bc6104bd399aee723b73a8731416e%253Bregion%253Abd%253Bsku%253A161032855_BD%253Bprice%253A20%253Bclient%253Adesktop%253Bsupplier_id%253A1031350%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A1%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A161032855%253Bsku_id%253A1092924449%253Bshop_id%253A37371%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=2E%201&priceCompare=skuId%3A1092924449%3Bsource%3Alazada-search-voucher%3Bsn%3Aa19bc6104bd399aee723b73a8731416e%3BoriginPrice%3A2000%3BdisplayPrice%3A2000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777398627717&ratingscore=5.0&request_id=a19bc6104bd399aee723b73a8731416e&review=5&sale=21&search=1&source=search&spm=a2a0e.searchlist.list.1&stock=1, 0.2
Capacitor,4,0.1uF,https://www.daraz.com.bd/products/100pcslot-0603-smd-chip-multilayer-ceramic-capacitor-05pf22uf-10pf-100pf-1nf-10nf-100nf-01uf-1uf-22uf-mlcc-chip-capacitor-i551047975-s2583886066.html?,3
Male Header Pins,10,1x02 Pin,https://www.daraz.com.bd/products/2-40x1-40x1-90-254mm-i145650295-s1071048718.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253AMale%252BHeader%252BPin%253Bnid%253A145650295%253Bsrc%253ALazadaMainSrp%253Brn%253Aa434065e043e0b7cca832eefad33b703%253Bregion%253Abd%253Bsku%253A145650295_BD%253Bprice%253A83%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A13%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A145650295%253Bsku_id%253A1071048718%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=83&priceCompare=skuId%3A1071048718%3Bsource%3Alazada-search-voucher%3Bsn%3Aa434065e043e0b7cca832eefad33b703%3BoriginPrice%3A8300%3BdisplayPrice%3A8300%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777399349527&ratingscore=4.666666666666667&request_id=a434065e043e0b7cca832eefad33b703&review=3&sale=39&search=1&source=search&spm=a2a0e.searchlist.list.13&stock=1,1
Flex Sensors,10,4.5 inch,https://www.daraz.com.bd/products/premium-quality-flex-sensor-22-inch-bend-flex-sensor-for-robotic-hand-electronic-gloves-flex22-flex45-flex-sensor-45-i562514047-s2596493402.html?, 80
Custom PCB,2,2 layer,https://jlcpcb.com/,12(with shipping cost)
LiPo Battery,2,3.7V (~1200mAh),https://www.daraz.com.bd/products/-i314568369-s1414174294.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Alipo%252Bbattery%253Bnid%253A314568369%253Bsrc%253ALazadaMainSrp%253Brn%253A6a066c93d5bfe42805bbbc70752b6eb5%253Bregion%253Abd%253Bsku%253A314568369_BD%253Bprice%253A325%253Bclient%253Adesktop%253Bsupplier_id%253A1031388%253Bsession_id%253A%253Bbiz_source%253Ah5_pdp%253Bslot%253A5%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000488%253Bitem_id%253A314568369%253Bsku_id%253A1414174294%253Bshop_id%253A37409%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=325&priceCompare=skuId%3A1414174294%3Bsource%3Alazada-search-voucher%3Bsn%3A6a066c93d5bfe42805bbbc70752b6eb5%3BoriginPrice%3A32500%3BdisplayPrice%3A32500%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777399742496&ratingscore=3.7142857142857144&request_id=6a066c93d5bfe42805bbbc70752b6eb5&review=7&sale=30&search=1&source=search&spm=a2a0e.searchlist.list.5&stock=1,8
Glove Material,2,Breathable Fabric,https://www.daraz.com.bd/products/3-i1577846690-s12656832925.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Arubber%252Bglove%252Bfor%252Bbikes%253Bnid%253A1577846690%253Bsrc%253ALazadaMainSrp%253Brn%253A64e7e4c3e1b0dfc0ad380d8be9afbb4c%253Bregion%253Abd%253Bsku%253A1577846690_BD%253Bprice%253A140%253Bclient%253Adesktop%253Bsupplier_id%253A700509432092%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A15%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10001213%253Bitem_id%253A1577846690%253Bsku_id%253A12656832925%253Bshop_id%253A213318%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=1.4E%202&priceCompare=skuId%3A12656832925%3Bsource%3Alazada-search-voucher%3Bsn%3A64e7e4c3e1b0dfc0ad380d8be9afbb4c%3BoriginPrice%3A14000%3BdisplayPrice%3A14000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777400255969&ratingscore=&request_id=64e7e4c3e1b0dfc0ad380d8be9afbb4c&review=&sale=1&search=1&source=search&spm=a2a0e.searchlist.list.15&stock=1,2
Shipping fee,,,,10
Total Estimation,,,,"~135.2 USD (includes PCB, Enclosure & other expected cost)"
